Date,Predicted_Sales
2025-03-18,1574297583.6793928
2025-03-19,4485530238.496863
2025-03-20,3724049533.9796686
2025-03-21,433012498.71031666
2025-03-22,3439422350.6243153
2025-03-23,4145788869.132268
2025-03-24,1886435318.9920049
2025-03-25,1856615171.476108
2025-03-26,4088172228.4885783
2025-03-27,2874986499.1737475
2025-03-28,1747311704.9957952
2025-03-29,3097792855.4716935
2025-03-30,3566378644.2637496
2025-03-31,2141322847.052822
2025-04-01,2448086204.9608335
2025-04-02,3445632370.653068
2025-04-03,2795820934.1460085
2025-04-04,2215357947.6018634
2025-04-05,3037890494.718045
2025-04-06,3140882200.539727
2025-04-07,2425556058.873327
2025-04-08,2641271596.30116
2025-04-09,3152522786.309258
2025-04-10,2741122681.1415167
2025-04-11,2500931709.1967883
2025-04-12,2944928583.0964165
2025-04-13,2953859649.758949
2025-04-14,2577101505.8217177
2025-04-15,2736940909.287732
2025-04-16,2979400254.30353
2025-04-17,2741005097.718858
2025-04-18,2642451875.527236
2025-04-19,2885189439.219227
2025-04-20,2860329130.844554
2025-04-21,2669276941.5406575
2025-04-22,2773459820.649668
2025-04-23,2887331473.3034005
2025-04-24,2750312701.0936494
2025-04-25,2715621222.9392524
2025-04-26,2844961544.525377
2025-04-27,2817254183.32562
2025-04-28,2721487195.513891
2025-04-29,2786651016.034363
2025-04-30,2837877118.5128508
2025-05-01,2761109283.9273257
2025-05-02,2752040283.3868103
2025-05-03,2820048585.220783
2025-05-04,2797765727.3476033
2025-05-05,2750845368.1058617
2025-05-06,2789994871.611889
2025-05-07,2811953975.479062
2025-05-08,2769673546.0791388
2025-05-09,2769912602.6471586
2025-05-10,2805058197.0235295
2025-05-11,2789446585.8828015
2025-05-12,2766986997.757114
2025-05-13,2789856605.6482797
2025-05-14,2798551736.4781923
2025-05-15,2775670046.9346642
2025-05-16,2778455177.593555
2025-05-17,2796313212.8302565
2025-05-18,2786157894.3673906
2025-05-19,2775722161.332226
2025-05-20,2788766660.3357224
2025-05-21,2791746946.5853195
2025-05-22,2779562964.7662706
2025-05-23,2782422027.617219
2025-05-24,2791327082.1232524
2025-05-25,2785037451.7340326
2025-05-26,2780370906.960207
2025-05-27,2787662081.600342
2025-05-28,2788355132.919727
2025-05-29,2781971718.9572053
2025-05-30,2784193609.768053
2025-05-31,2788541662.7880344
2025-06-01,2784781941.2603216
2025-06-02,2782805519.8134403
2025-06-03,2786807276.880152
2025-06-04,2786700062.3579116
2025-06-05,2783410370.578787
2025-06-06,2784942640.4310284
2025-06-07,2787013562.5854735
2025-06-08,2784827626.9593887
2025-06-09,2784059624.7179146
2025-06-10,2786219132.982266
2025-06-11,2785912333.848366
2025-06-12,2784246274.4759355
2025-06-13,2785232825.680028
2025-06-14,2786189301.3425174
2025-06-15,2784947189.697897
